id,company,title,required_skills,preferred_skills,description,job_type,deadline
1,신한나라데이터시스템,신용평가모델 개발 및 고객 데이터 분석가,"Python, SQL, 통계","금융 데이터(여신, 수신, 카드 승인 내역 등) 분석","당사 금융 플랫폼의 고객 거래 행태 및 여신 데이터를 기반으로 대안 신용평가(Alternative Credit Scoring System) 모델을 개발하고 고도화",데이터 분석,2026-08-31
2,한국토지자산연구소,데이터 엔지니어,"Python, Spark, SQL","GeoAI(공간 인공지능) 모델 연구 경험자, 공공 데이터 포털 API 활용","전국 단위의 필지 데이터, 유동인구 데이터, Alley Commercial Area(골목상권) 생존율 및 매출 데이터를 융합",데이터 엔지니어링,2026-09-15
3,대한금융투자운용,퀀트 분석 및 투자 알고리즘 개발자,"Python, C++, SQL, Pandas/NumPy","금융공학(Financial Engineering) 석사 이상 또는 이에 준하는 계량경제 분석 역량 보유자, 알고리즘 매매 시스템 개발","국내외 주식, 채권, 파생상품 시장 등 다양한 금융 자산 데이터의 시계열 분석을 바탕으로 계량 투자(Quant) 알고리즘을 설계하고 백테스팅을 수행합니다.",AI/ML,2026-08-20
4,핀테크D,백엔드 개발자,,"Docker, Kubernetes, MSA","금융 서비스 REST API 서버를 개발합니다. 확장 가능한 백엔드 아키텍처를 설계하고 운영합니다.",백엔드 개발,2026-09-30
5,커머스E,데이터 분석가,"SQL, Python, 엑셀","Looker, 통계분석, A/B테스트","이커머스 판매 및 고객 행동 데이터를 분석해 마케팅 전략 수립을 지원합니다.",데이터 분석,2026-08-31
6,헬스케어F,AI 연구원,"Python, 머신러닝, 논문 작성","NLP, 컴퓨터 비전, PyTorch","의료 데이터 기반 AI 모델을 연구·개발합니다. 논문 작성 및 학회 발표 경험자를 우대합니다.",AI/ML,2026-09-01
7,컨설팅G,경영전략 컨설턴트,"Excel, PowerPoint, 데이터분석","MBA, SQL, Tableau","기업 전략 수립 및 운영 효율화 프로젝트를 수행합니다. 데이터 기반 의사결정을 지원합니다.",경영전략,2026-10-15
8,물류H,공급망 분석가,"sql, Python, 물류 도메인","ERP, SCM, R","물류 네트워크 최적화 및 수요 예측 모델을 개발합니다. 물류·유통 도메인 이해 필수입니다.",데이터 분석,2026-08-15
9,광고테크I,디지털 마케터,,"Google Analytics, Meta Ads, SEO","디지털 광고 성과를 분석하고 ROI 최적화 전략을 수립합니다. 데이터 기반 캠페인 운영 경험자 우대.",마케팅,2026-09-20
10,바이오J,생물정보학 연구원,"R, Python, 바이오인포매틱스","BLAST, NGS, 리눅스","유전체 데이터 분석 파이프라인을 개발합니다. 생물정보학 관련 석사 이상 우대합니다.",연구개발,2026-08-31
11,스타트업K,프론트엔드 개발자,"JavaScript, React, HTML/CSS","TypeScript, Next.js, Figma","사용자 경험 중심의 프론트엔드 서비스를 개발합니다. 디자인 협업 경험 우대.",프론트엔드 개발,26.09.10
12,금융L,리스크 분석가,"PYTHON, 통계, 금융공학","VBA, Bloomberg, SQL","금융 리스크 모델을 개발하고 규제 보고서를 작성합니다. CFA 또는 FRM 자격증 우대.",금융분석,
13,공기업M,데이터 사이언티스트,"Python, sql, Machine Learning","딥러닝, 시각화, NLP","공공 서비스 개선을 위한 데이터 분석 및 AI 모델을 개발합니다. 공공 데이터 활용 경험 우대.",데이터 분석,2026-10-31
14,게임N,게임 데이터 분석가,"SQL, Python, 게임 도메인","R, 행동분석, A/B테스트","게임 유저 행동 데이터를 분석하고 게임 밸런싱 및 수익화 전략을 지원합니다.",데이터 분석,2026-09-30
15,AI솔루션C,머신러닝 엔지니어,"Python, PyTorch, 딥러닝","TensorFlow, CUDA, MLOps","AI 모델 개발 및 서비스 배포를 담당합니다. 자연어 처리 및 컴퓨터 비전 프로젝트에 참여합니다.",AI/ML,2026-08-20
